,sample,id,x,y,area,area_convex,KM_label_nc20,star_KM_label_nc20
Tonsil_2_s0_a4_14391.0,Tonsil_2_s0_a4,14391.0,978.30664,489.05334,75.0,80.0,3,1
Tonsil_3_s0_a2_6047.0,Tonsil_3_s0_a2,6047.0,308.53012,901.7349,83.0,89.0,9,12
Tonsil_2_s0_a3_2502.0,Tonsil_2_s0_a3,2502.0,140.50705,910.8873,71.0,79.0,13,0
Tonsil_2_s0_a1_9219.0,Tonsil_2_s0_a1,9219.0,577.5,177.06451,62.0,64.0,8,2
Tonsil_3_s0_a1_9641.0,Tonsil_3_s0_a1,9641.0,635.28,524.88,50.0,54.0,12,13
Tonsil_3_s0_a2_10050.0,Tonsil_3_s0_a2,10050.0,518.6774,402.1129,62.0,69.0,8,doublets
Tonsil_2_s0_a5_12046.0,Tonsil_2_s0_a5,12046.0,773.8947,919.0,19.0,21.0,6,2
Tonsil_3_s0_a2_13183.0,Tonsil_3_s0_a2,13183.0,700.7143,331.25,28.0,31.0,11,12
Tonsil_2_s0_a6_10383.0,Tonsil_2_s0_a6,10383.0,608.2909,40.036366,55.0,59.0,16,doublets
Tonsil_2_s0_a7_550.0,Tonsil_2_s0_a7,550.0,38.26923,798.3461,26.0,26.0,15,17
Tonsil_2_s0_a8_1443.0,Tonsil_2_s0_a8,1443.0,87.435486,853.4032,62.0,69.0,8,19
Tonsil_3_s0_a1_11230.0,Tonsil_3_s0_a1,11230.0,742.6429,426.59525,42.0,47.0,5,13
Tonsil_2_s0_a2_6657.0,Tonsil_2_s0_a2,6657.0,485.42856,801.0893,56.0,61.0,16,14
Tonsil_2_s0_a5_11363.0,Tonsil_2_s0_a5,11363.0,731.16,466.24,50.0,52.0,12,doublets
Tonsil_2_s0_a2_4625.0,Tonsil_2_s0_a2,4625.0,362.06897,845.4138,29.0,32.0,11,5
Tonsil_3_s0_a3_5325.0,Tonsil_3_s0_a3,5325.0,293.5,500.4,20.0,21.0,6,6
Tonsil_2_s0_a6_9161.0,Tonsil_2_s0_a6,9161.0,530.86365,579.38635,44.0,47.0,17,doublets
Tonsil_2_s0_a3_5621.0,Tonsil_2_s0_a3,5621.0,302.8684,603.7632,38.0,41.0,5,doublets
Tonsil_2_s0_a4_5171.0,Tonsil_2_s0_a4,5171.0,314.78378,594.43243,37.0,40.0,2,6
Tonsil_3_s0_a4_12101.0,Tonsil_3_s0_a4,12101.0,758.1326,579.87756,98.0,108.0,0,19
Tonsil_2_s0_a1_8457.0,Tonsil_2_s0_a1,8457.0,536.8226,523.5,62.0,69.0,8,doublets
Tonsil_2_s0_a7_11589.0,Tonsil_2_s0_a7,11589.0,685.0645,807.70966,31.0,33.0,11,7
Tonsil_3_s0_a2_6663.0,Tonsil_3_s0_a2,6663.0,338.5,394.0,24.0,26.0,15,11
Tonsil_2_s0_a1_12229.0,Tonsil_2_s0_a1,12229.0,755.36505,402.6905,126.0,135.0,10,doublets
Tonsil_2_s0_a4_1298.0,Tonsil_2_s0_a4,1298.0,77.09259,174.35185,54.0,58.0,1,1
Tonsil_2_s0_a4_868.0,Tonsil_2_s0_a4,868.0,51.208332,525.44446,72.0,82.0,3,17
Tonsil_2_s0_a1_309.0,Tonsil_2_s0_a1,309.0,30.508772,621.0175,57.0,62.0,16,doublets
Tonsil_2_s0_a6_10672.0,Tonsil_2_s0_a6,10672.0,625.7727,183.63637,66.0,68.0,13,17
Tonsil_2_s0_a4_9432.0,Tonsil_2_s0_a4,9432.0,619.47296,534.5405,74.0,79.0,3,16
Tonsil_2_s0_a3_5261.0,Tonsil_2_s0_a3,5261.0,285.2381,451.4762,63.0,69.0,8,14
Tonsil_2_s0_a5_6040.0,Tonsil_2_s0_a5,6040.0,385.4186,708.8605,43.0,45.0,17,doublets
Tonsil_3_s0_a2_9611.0,Tonsil_3_s0_a2,9611.0,492.6,484.6,15.0,15.0,19,12
Tonsil_2_s0_a8_322.0,Tonsil_2_s0_a8,322.0,18.17647,638.17645,17.0,19.0,19,doublets
Tonsil_2_s0_a6_1380.0,Tonsil_2_s0_a6,1380.0,80.2,356.35385,65.0,71.0,8,1
Tonsil_2_s0_a5_5204.0,Tonsil_2_s0_a5,5204.0,333.7647,70.94118,34.0,35.0,2,4
Tonsil_2_s0_a6_9435.0,Tonsil_2_s0_a6,9435.0,547.2353,802.1177,51.0,56.0,1,19
Tonsil_2_s0_a7_3837.0,Tonsil_2_s0_a7,3837.0,246.25926,416.8889,27.0,29.0,15,5
Tonsil_3_s0_a4_11950.0,Tonsil_3_s0_a4,11950.0,747.6556,719.07776,90.0,97.0,14,0
Tonsil_2_s0_a6_14273.0,Tonsil_2_s0_a6,14273.0,832.4194,491.32257,62.0,66.0,8,1
Tonsil_2_s0_a6_12709.0,Tonsil_2_s0_a6,12709.0,743.5682,152.02272,44.0,48.0,17,doublets
Tonsil_3_s0_a3_4432.0,Tonsil_3_s0_a3,4432.0,245.51064,903.04254,47.0,51.0,12,6
Tonsil_2_s0_a4_156.0,Tonsil_2_s0_a4,156.0,8.173077,680.36536,52.0,60.0,1,17
Tonsil_3_s0_a1_7204.0,Tonsil_3_s0_a1,7204.0,453.93442,293.32788,61.0,68.0,8,3
Tonsil_2_s0_a6_14350.0,Tonsil_2_s0_a6,14350.0,835.7292,744.0,48.0,55.0,12,1
Tonsil_3_s0_a3_881.0,Tonsil_3_s0_a3,881.0,50.891567,209.253,83.0,92.0,9,9
Tonsil_3_s0_a4_6007.0,Tonsil_3_s0_a4,6007.0,399.65384,431.40384,156.0,168.0,7,doublets
Tonsil_2_s0_a4_7765.0,Tonsil_2_s0_a4,7765.0,494.125,197.0,40.0,42.0,5,0
Tonsil_3_s0_a2_11502.0,Tonsil_3_s0_a2,11502.0,604.68,635.44,25.0,26.0,15,11
Tonsil_3_s0_a3_12782.0,Tonsil_3_s0_a3,12782.0,678.85455,347.1091,55.0,59.0,16,doublets
Tonsil_2_s0_a3_9409.0,Tonsil_2_s0_a3,9409.0,513.0625,568.8906,64.0,68.0,8,3
Tonsil_2_s0_a3_8615.0,Tonsil_2_s0_a3,8615.0,468.9091,31.69697,33.0,34.0,2,8
Tonsil_2_s0_a6_11908.0,Tonsil_2_s0_a6,11908.0,698.35,994.7833,120.0,126.0,10,0
Tonsil_3_s0_a3_11230.0,Tonsil_3_s0_a3,11230.0,596.07245,416.85507,69.0,74.0,13,5
Tonsil_2_s0_a1_5781.0,Tonsil_2_s0_a1,5781.0,376.2857,196.43878,98.0,111.0,0,doublets
Tonsil_2_s0_a2_10005.0,Tonsil_2_s0_a2,10005.0,675.18365,861.4898,49.0,51.0,12,2
Tonsil_3_s0_a4_1412.0,Tonsil_3_s0_a4,1412.0,111.83654,385.10577,104.0,108.0,0,doublets
Tonsil_2_s0_a3_7105.0,Tonsil_2_s0_a3,7105.0,384.80554,258.55554,36.0,38.0,2,14
Tonsil_2_s0_a2_1540.0,Tonsil_2_s0_a2,1540.0,137.45,490.75,20.0,21.0,6,9
Tonsil_2_s0_a1_14990.0,Tonsil_2_s0_a1,14990.0,963.6495,987.7938,97.0,101.0,14,doublets
Tonsil_2_s0_a8_10907.0,Tonsil_2_s0_a8,10907.0,683.0741,488.37036,54.0,57.0,1,14
Tonsil_2_s0_a3_10294.0,Tonsil_2_s0_a3,10294.0,562.38464,992.61536,13.0,13.0,19,3
Tonsil_2_s0_a5_13902.0,Tonsil_2_s0_a5,13902.0,889.7037,208.91357,81.0,94.0,9,8
Tonsil_2_s0_a5_7588.0,Tonsil_2_s0_a5,7588.0,486.0,561.67566,37.0,41.0,2,6
Tonsil_2_s0_a3_8340.0,Tonsil_2_s0_a3,8340.0,452.26086,774.6087,46.0,49.0,17,1
Tonsil_2_s0_a3_4757.0,Tonsil_2_s0_a3,4757.0,258.34,236.92,50.0,55.0,12,doublets
Tonsil_3_s0_a3_3020.0,Tonsil_3_s0_a3,3020.0,170.3077,14.692307,39.0,42.0,5,11
Tonsil_3_s0_a2_16601.0,Tonsil_3_s0_a2,16601.0,929.283,351.09433,53.0,55.0,1,doublets
Tonsil_2_s0_a6_440.0,Tonsil_2_s0_a6,440.0,24.421053,461.5,38.0,41.0,5,doublets
Tonsil_2_s0_a3_14443.0,Tonsil_2_s0_a3,14443.0,810.5,620.7,30.0,32.0,11,8
Tonsil_2_s0_a8_13369.0,Tonsil_2_s0_a8,13369.0,842.58826,622.7647,68.0,72.0,13,doublets
Tonsil_3_s0_a2_11259.0,Tonsil_3_s0_a2,11259.0,590.5132,914.3947,76.0,80.0,3,11
Tonsil_2_s0_a7_12721.0,Tonsil_2_s0_a7,12721.0,755.2,453.90768,65.0,68.0,8,doublets
Tonsil_3_s0_a3_8947.0,Tonsil_3_s0_a3,8947.0,479.5,89.625,32.0,33.0,11,5
Tonsil_3_s0_a4_4790.0,Tonsil_3_s0_a4,4790.0,323.84616,372.80768,26.0,29.0,15,15
Tonsil_2_s0_a4_2651.0,Tonsil_2_s0_a4,2651.0,159.36842,644.3158,19.0,21.0,6,9
Tonsil_3_s0_a4_6303.0,Tonsil_3_s0_a4,6303.0,417.95,219.9,20.0,21.0,6,16
Tonsil_2_s0_a6_6598.0,Tonsil_2_s0_a6,6598.0,376.23077,742.5692,65.0,70.0,8,doublets
Tonsil_2_s0_a6_338.0,Tonsil_2_s0_a6,338.0,17.827587,639.4828,29.0,30.0,11,16
Tonsil_2_s0_a6_8133.0,Tonsil_2_s0_a6,8133.0,468.51666,760.06665,60.0,63.0,8,doublets
Tonsil_3_s0_a2_1401.0,Tonsil_3_s0_a2,1401.0,71.2,25.8,40.0,42.0,5,12
Tonsil_2_s0_a6_5304.0,Tonsil_2_s0_a6,5304.0,301.2857,348.7551,49.0,53.0,12,1
Tonsil_2_s0_a4_11371.0,Tonsil_2_s0_a4,11371.0,769.0089,562.9286,112.0,127.0,10,16
Tonsil_2_s0_a3_5514.0,Tonsil_2_s0_a3,5514.0,298.9608,424.39215,51.0,56.0,1,14
Tonsil_2_s0_a4_6894.0,Tonsil_2_s0_a4,6894.0,431.62686,457.86566,67.0,73.0,13,16
Tonsil_2_s0_a2_8681.0,Tonsil_2_s0_a2,8681.0,603.2222,339.74075,54.0,57.0,1,doublets
Tonsil_2_s0_a4_10087.0,Tonsil_2_s0_a4,10087.0,670.0,137.0,81.0,81.0,9,doublets
Tonsil_2_s0_a7_15112.0,Tonsil_2_s0_a7,15112.0,911.89746,746.9231,39.0,43.0,5,1
Tonsil_2_s0_a3_15432.0,Tonsil_2_s0_a3,15432.0,879.21277,613.1489,47.0,50.0,12,8
Tonsil_2_s0_a8_8667.0,Tonsil_2_s0_a8,8667.0,542.127,678.6508,63.0,70.0,8,9
Tonsil_3_s0_a4_6631.0,Tonsil_3_s0_a4,6631.0,436.1346,934.28845,52.0,56.0,1,5
Tonsil_2_s0_a5_3322.0,Tonsil_2_s0_a5,3322.0,213.44775,570.1642,67.0,72.0,13,doublets
